ds;y
09/12/2019;0
09/12/2019;0
09/12/2019;0
09/12/2019;0
09/12/2019;0
09/12/2019;0
09/12/2019;0
09/12/2019;0
09/12/2019;0
09/12/2019;0
09/12/2019;0
09/12/2019;0
09/12/2019;0
09/12/2019;0
09/12/2019;0
09/12/2019;0
09/12/2019;0
09/12/2019;0
09/12/2019;0
09/12/2019;0
09/12/2019;0
09/12/2019;0
09/12/2019;0
09/12/2019;0
09/12/2019;0
09/12/2019;0
09/12/2019;0
09/12/2019;0
09/12/2019;0
09/12/2019;0
09/12/2019;0
09/12/2019;0
09/12/2019;0
09/12/2019;0
09/12/2019;0
09/12/2019;0
09/12/2019;0
09/12/2019;0
09/12/2019;0
09/12/2019;0
09/12/2019;0
09/12/2019;0
09/12/2019;0
09/12/2019;0
09/12/2019;0
09/12/2019;0
09/12/2019;0
09/12/2019;0
09/12/2019;0
09/12/2019;0
09/12/2019;0
09/12/2019;0
09/12/2019;0
09/12/2019;0
09/12/2019;0
09/12/2019;0
09/12/2019;0
09/12/2019;0
09/12/2019;0
09/12/2019;0
09/12/2019;0
09/12/2019;0
09/12/2019;0
09/12/2019;0
09/12/2019;0
09/12/2019;0
09/12/2019;0
09/12/2019;0
09/12/2019;0
09/12/2019;0
09/12/2019;0
09/12/2019;0
09/12/2019;0
09/12/2019;0
09/12/2019;0
09/12/2019;0
09/12/2019;0
09/12/2019;0
09/12/2019;0
09/12/2019;0
09/12/2019;0
09/12/2019;0
09/12/2019;0
09/12/2019;0
09/12/2019;0
09/12/2019;0
09/12/2019;0
09/12/2019;0
09/12/2019;0
09/12/2019;0
09/12/2019;0
09/12/2019;0
09/12/2019;0
09/12/2019;0
09/12/2019;0
09/12/2019;0
09/12/2019;0
09/12/2019;0
09/12/2019;0
09/12/2019;25
09/12/2019;47
09/12/2019;67
09/12/2019;132
09/12/2019;429
09/12/2019;665
09/12/2019;737
09/12/2019;831
09/12/2019;935
09/12/2019;1010
09/12/2019;479
09/12/2019;944
09/12/2019;1250
09/12/2019;1360
09/12/2019;1410
09/12/2019;1520
09/12/2019;1650
09/12/2019;1780
09/12/2019;1850
09/12/2019;1930
09/12/2019;2080
09/12/2019;2140
09/12/2019;2220
09/12/2019;2280
09/12/2019;2380
09/12/2019;2440
09/12/2019;2570
09/12/2019;2320
09/12/2019;2570
09/12/2019;2360
09/12/2019;2300
09/12/2019;2660
09/12/2019;2220
09/12/2019;2360
09/12/2019;2960
09/12/2019;2360
09/12/2019;1330
09/12/2019;3160
09/12/2019;2720
09/12/2019;1780
09/12/2019;1890
09/12/2019;2210
09/12/2019;3210
09/12/2019;2480
09/12/2019;1750
09/12/2019;1320
09/12/2019;1180
09/12/2019;1660
09/12/2019;708
09/12/2019;722
09/12/2019;1360
09/12/2019;1610
09/12/2019;1090
09/12/2019;1520
09/12/2019;774
09/12/2019;535
09/12/2019;538
09/12/2019;615
09/12/2019;648
09/12/2019;886
09/12/2019;879
09/12/2019;756
09/12/2019;675
09/12/2019;879
