date;yield
19/07/2020;174
16/07/2020;40
16/07/2020;7
19/07/2020;173
19/07/2020;163
16/07/2020;24
19/07/2020;139
16/07/2020;38
16/07/2020;65
19/07/2020;104
16/07/2020;113
19/07/2020;56
19/07/2020;11
16/07/2020;166
06/07/2020;0
06/07/2020;0
06/07/2020;0
06/07/2020;0
06/07/2020;0
06/07/2020;0
06/07/2020;0
06/07/2020;12
06/07/2020;59
06/07/2020;87
06/07/2020;72
06/07/2020;107
06/07/2020;196
06/07/2020;348
06/07/2020;344
06/07/2020;341
06/07/2020;423
06/07/2020;500
06/07/2020;573
06/07/2020;712
06/07/2020;607
06/07/2020;648
06/07/2020;653
06/07/2020;690
06/07/2020;1070
06/07/2020;823
06/07/2020;595
06/07/2020;742
06/07/2020;1100
06/07/2020;1810
06/07/2020;760
06/07/2020;826
06/07/2020;1050
06/07/2020;1020
17/07/2020;801
17/07/2020;712
17/07/2020;673
17/07/2020;487
17/07/2020;416
17/07/2020;728
17/07/2020;971
07/07/2020;5430
07/07/2020;5520
07/07/2020;5660
07/07/2020;5820
07/07/2020;5970
07/07/2020;6020
07/07/2020;3270
07/07/2020;4530
07/07/2020;6180
07/07/2020;6430
07/07/2020;6640
07/07/2020;6630
07/07/2020;6600
07/07/2020;5260
07/07/2020;2650
07/07/2020;6660
07/07/2020;3930
07/07/2020;4760
07/07/2020;7000
07/07/2020;5810
07/07/2020;5270
07/07/2020;5840
07/07/2020;5650
07/07/2020;6750
07/07/2020;5910
07/07/2020;6020
07/07/2020;6330
07/07/2020;6910
07/07/2020;6910
18/07/2020;499
18/07/2020;425
18/07/2020;365
18/07/2020;306
18/07/2020;297
18/07/2020;282
18/07/2020;270
05/07/2020;42
05/07/2020;79
05/07/2020;86
05/07/2020;107
05/07/2020;131
05/07/2020;117
05/07/2020;116
05/07/2020;208
05/07/2020;288
05/07/2020;343
05/07/2020;505
05/07/2020;516
05/07/2020;430
05/07/2020;360
05/07/2020;495
05/07/2020;700
05/07/2020;802
05/07/2020;1240
05/07/2020;1400
05/07/2020;1330
05/07/2020;1350
05/07/2020;1340
05/07/2020;1460
05/07/2020;1550
05/07/2020;1640
05/07/2020;1810
05/07/2020;2000
05/07/2020;2070
05/07/2020;2170
05/07/2020;2270
05/07/2020;2440
05/07/2020;2650
05/07/2020;3180
05/07/2020;1840
30/06/2020;539
05/07/2020;1580
30/06/2020;644
14/07/2020;0
15/07/2020;0
15/07/2020;0
14/07/2020;19
14/07/2020;57
15/07/2020;0
15/07/2020;0
14/07/2020;68
15/07/2020;0
14/07/2020;90
15/07/2020;0
14/07/2020;112
04/07/2020;72
04/07/2020;106
04/07/2020;139
04/07/2020;167
04/07/2020;194
04/07/2020;216
04/07/2020;240
04/07/2020;269
04/07/2020;301
04/07/2020;320
04/07/2020;342
04/07/2020;383
04/07/2020;427
04/07/2020;510
04/07/2020;548
04/07/2020;565
04/07/2020;543
04/07/2020;717
04/07/2020;826
04/07/2020;990
04/07/2020;1120
04/07/2020;1230
04/07/2020;1320
04/07/2020;1590
13/07/2020;56
13/07/2020;67
13/07/2020;85
03/07/2020;85
03/07/2020;142
03/07/2020;189
03/07/2020;196
03/07/2020;181
03/07/2020;191
03/07/2020;147
03/07/2020;202
03/07/2020;361
03/07/2020;472
03/07/2020;483
03/07/2020;463
03/07/2020;472
03/07/2020;559
03/07/2020;568
03/07/2020;602
03/07/2020;895
03/07/2020;836
03/07/2020;951
03/07/2020;1120
03/07/2020;1320
03/07/2020;1550
03/07/2020;1730
03/07/2020;1680
03/07/2020;2080
03/07/2020;1600
05/07/2020;1340
03/07/2020;1710
05/07/2020;1310
03/07/2020;1870
05/07/2020;1710
03/07/2020;2190
03/07/2020;2450
05/07/2020;1940
12/07/2020;19
02/07/2020;54
02/07/2020;58
02/07/2020;59
02/07/2020;99
02/07/2020;122
02/07/2020;188
02/07/2020;208
02/07/2020;205
02/07/2020;271
02/07/2020;276
02/07/2020;244
02/07/2020;174
02/07/2020;96
02/07/2020;71
02/07/2020;124
02/07/2020;178
02/07/2020;204
02/07/2020;197
02/07/2020;220
02/07/2020;229
02/07/2020;133
02/07/2020;162
02/07/2020;285
02/07/2020;414
02/07/2020;166
02/07/2020;107
02/07/2020;146
30/06/2020;671
02/07/2020;133
30/06/2020;901
02/07/2020;50
30/06/2020;998
02/07/2020;0
30/06/2020;1370
30/06/2020;1240
02/07/2020;20
02/07/2020;52
18/07/2020;261
17/07/2020;1240
18/07/2020;255
17/07/2020;1880
17/07/2020;2120
18/07/2020;250
18/07/2020;238
17/07/2020;1610
18/07/2020;216
17/07/2020;1400
18/07/2020;197
17/07/2020;1170
18/07/2020;187
17/07/2020;1100
18/07/2020;175
17/07/2020;925
18/07/2020;163
17/07/2020;883
18/07/2020;144
17/07/2020;692
17/07/2020;646
18/07/2020;125
17/07/2020;684
18/07/2020;113
17/07/2020;842
18/07/2020;104
17/07/2020;892
18/07/2020;86
17/07/2020;1040
18/07/2020;73
17/07/2020;1540
18/07/2020;73
17/07/2020;2120
18/07/2020;62
18/07/2020;50
17/07/2020;2070
18/07/2020;48
17/07/2020;2420
18/07/2020;49
18/07/2020;40
17/07/2020;2290
18/07/2020;16
17/07/2020;2240
18/07/2020;0
17/07/2020;1680
18/07/2020;0
17/07/2020;1580
18/07/2020;0
17/07/2020;1390
18/07/2020;0
15/07/2020;4
15/07/2020;52
15/07/2020;66
15/07/2020;74
15/07/2020;80
15/07/2020;112
15/07/2020;147
15/07/2020;190
15/07/2020;248
15/07/2020;305
15/07/2020;346
15/07/2020;362
15/07/2020;380
15/07/2020;363
15/07/2020;364
15/07/2020;345
15/07/2020;344
15/07/2020;399
15/07/2020;433
15/07/2020;423
15/07/2020;367
15/07/2020;352
15/07/2020;437
15/07/2020;549
15/07/2020;586
15/07/2020;551
15/07/2020;607
15/07/2020;720
15/07/2020;720
15/07/2020;672
15/07/2020;707
15/07/2020;818
15/07/2020;940
15/07/2020;1110
15/07/2020;1270
15/07/2020;1170
15/07/2020;855
15/07/2020;660
13/07/2020;97
13/07/2020;111
13/07/2020;122
13/07/2020;138
13/07/2020;169
13/07/2020;189
13/07/2020;214
13/07/2020;240
13/07/2020;274
13/07/2020;310
13/07/2020;365
13/07/2020;454
13/07/2020;540
13/07/2020;604
13/07/2020;678
13/07/2020;826
13/07/2020;872
13/07/2020;997
13/07/2020;1130
13/07/2020;1250
13/07/2020;1390
13/07/2020;1520
13/07/2020;1790
13/07/2020;1980
13/07/2020;1970
12/07/2020;55
12/07/2020;67
12/07/2020;86
12/07/2020;110
12/07/2020;128
12/07/2020;144
12/07/2020;160
12/07/2020;178
12/07/2020;200
12/07/2020;220
12/07/2020;241
12/07/2020;265
12/07/2020;289
12/07/2020;307
12/07/2020;385
12/07/2020;536
12/07/2020;629
12/07/2020;792
12/07/2020;901
12/07/2020;989
12/07/2020;1130
12/07/2020;1290
12/07/2020;1420
12/07/2020;1560
12/07/2020;1720
12/07/2020;1890
12/07/2020;2010
12/07/2020;2160
12/07/2020;2300
12/07/2020;2440
12/07/2020;2600
12/07/2020;2740
12/07/2020;2870
12/07/2020;3010
12/07/2020;3140
12/07/2020;3250
12/07/2020;3390
14/07/2020;128
14/07/2020;148
14/07/2020;165
14/07/2020;183
14/07/2020;217
14/07/2020;259
14/07/2020;308
14/07/2020;372
14/07/2020;428
14/07/2020;458
14/07/2020;477
14/07/2020;531
14/07/2020;640
14/07/2020;915
14/07/2020;660
14/07/2020;575
14/07/2020;988
14/07/2020;1010
14/07/2020;657
14/07/2020;1020
14/07/2020;1480
14/07/2020;789
14/07/2020;768
14/07/2020;953
14/07/2020;2040
14/07/2020;2100
14/07/2020;2510
14/07/2020;2840
14/07/2020;3040
14/07/2020;3130
14/07/2020;3260
14/07/2020;3350
14/07/2020;3460
14/07/2020;3590
14/07/2020;3670
14/07/2020;3880
14/07/2020;3970
16/07/2020;146
16/07/2020;158
16/07/2020;228
16/07/2020;257
16/07/2020;262
16/07/2020;260
16/07/2020;215
16/07/2020;180
16/07/2020;131
16/07/2020;111
16/07/2020;82
16/07/2020;76
16/07/2020;160
16/07/2020;188
16/07/2020;215
16/07/2020;194
16/07/2020;266
16/07/2020;417
16/07/2020;589
16/07/2020;453
16/07/2020;296
16/07/2020;300
16/07/2020;264
16/07/2020;268
16/07/2020;288
16/07/2020;410
16/07/2020;593
16/07/2020;495
16/07/2020;362
16/07/2020;458
16/07/2020;388
16/07/2020;393
16/07/2020;389
16/07/2020;403
16/07/2020;406
16/07/2020;476
16/07/2020;513
16/07/2020;369
16/07/2020;260
16/07/2020;274
16/07/2020;289
16/07/2020;517
16/07/2020;976
16/07/2020;585
16/07/2020;695
16/07/2020;659
16/07/2020;481
16/07/2020;952
16/07/2020;1600
16/07/2020;1350
16/07/2020;1520
16/07/2020;1410
16/07/2020;1170
16/07/2020;1210
16/07/2020;1030
16/07/2020;803
16/07/2020;857
16/07/2020;1080
11/07/2020;0
11/07/2020;83
11/07/2020;86
11/07/2020;220
11/07/2020;201
11/07/2020;203
11/07/2020;248
11/07/2020;245
11/07/2020;207
11/07/2020;126
11/07/2020;46
11/07/2020;67
11/07/2020;87
11/07/2020;18
11/07/2020;0
11/07/2020;62
11/07/2020;116
11/07/2020;33
11/07/2020;40
11/07/2020;180
11/07/2020;234
11/07/2020;188
11/07/2020;236
11/07/2020;403
11/07/2020;546
11/07/2020;568
17/07/2020;1550
17/07/2020;1510
17/07/2020;2460
17/07/2020;3670
17/07/2020;2490
17/07/2020;2990
17/07/2020;2980
17/07/2020;2890
17/07/2020;4350
17/07/2020;5430
17/07/2020;2900
17/07/2020;5570
17/07/2020;5460
17/07/2020;4650
17/07/2020;4260
17/07/2020;5850
17/07/2020;5030
17/07/2020;2190
17/07/2020;2420
17/07/2020;5750
17/07/2020;5010
17/07/2020;5160
17/07/2020;6500
17/07/2020;6500
17/07/2020;6900
17/07/2020;2970
17/07/2020;2790
17/07/2020;5920
17/07/2020;6860
17/07/2020;2250
17/07/2020;1670
17/07/2020;5870
17/07/2020;6990
17/07/2020;6710
17/07/2020;6730
17/07/2020;6700
17/07/2020;6750
17/07/2020;3010
17/07/2020;1490
17/07/2020;1530
17/07/2020;4930
13/07/2020;1940
13/07/2020;2310
13/07/2020;2400
13/07/2020;2690
13/07/2020;2800
13/07/2020;2850
13/07/2020;3080
13/07/2020;2920
13/07/2020;2700
13/07/2020;3450
13/07/2020;3600
13/07/2020;3690
13/07/2020;3470
13/07/2020;3790
13/07/2020;3910
13/07/2020;4140
13/07/2020;4160
13/07/2020;4230
13/07/2020;4330
13/07/2020;4430
13/07/2020;4430
13/07/2020;4660
13/07/2020;4820
13/07/2020;4190
13/07/2020;4160
13/07/2020;4900
13/07/2020;4500
10/07/2020;57
10/07/2020;71
10/07/2020;88
10/07/2020;113
10/07/2020;130
10/07/2020;154
10/07/2020;192
10/07/2020;232
10/07/2020;267
10/07/2020;290
10/07/2020;294
10/07/2020;298
10/07/2020;325
10/07/2020;378
10/07/2020;477
10/07/2020;540
10/07/2020;589
10/07/2020;660
10/07/2020;816
10/07/2020;921
10/07/2020;998
10/07/2020;1110
10/07/2020;1230
10/07/2020;1350
10/07/2020;1510
10/07/2020;1590
10/07/2020;1840
10/07/2020;1790
10/07/2020;1810
10/07/2020;2010
10/07/2020;2210
10/07/2020;2300
10/07/2020;2440
10/07/2020;2280
10/07/2020;2370
10/07/2020;2580
10/07/2020;2650
10/07/2020;3020
10/07/2020;2750
10/07/2020;2940
10/07/2020;3270
10/07/2020;3540
10/07/2020;3560
10/07/2020;3700
10/07/2020;3900
10/07/2020;4030
10/07/2020;4130
10/07/2020;4200
10/07/2020;4280
10/07/2020;4370
10/07/2020;4390
10/07/2020;4420
10/07/2020;4560
10/07/2020;4140
10/07/2020;4320
10/07/2020;4270
10/07/2020;4620
10/07/2020;5220
10/07/2020;4160
10/07/2020;4270
10/07/2020;3800
10/07/2020;4390
10/07/2020;4450
10/07/2020;5550
10/07/2020;5500
10/07/2020;5500
10/07/2020;4640
10/07/2020;4980
10/07/2020;5290
10/07/2020;5780
10/07/2020;4480
10/07/2020;5270
10/07/2020;5770
10/07/2020;5480
10/07/2020;5970
10/07/2020;6020
10/07/2020;6150
10/07/2020;6170
10/07/2020;6360
10/07/2020;5990
10/07/2020;3150
10/07/2020;3770
10/07/2020;2250
10/07/2020;3510
10/07/2020;2180
10/07/2020;4130
10/07/2020;2320
10/07/2020;4990
10/07/2020;6470
10/07/2020;6450
10/07/2020;6420
10/07/2020;6410
10/07/2020;6320
10/07/2020;6330
10/07/2020;4470
10/07/2020;6430
10/07/2020;6290
10/07/2020;6150
10/07/2020;6050
10/07/2020;5890
10/07/2020;5720
10/07/2020;5500
10/07/2020;5380
11/07/2020;2260
11/07/2020;2490
11/07/2020;1380
11/07/2020;1480
11/07/2020;1550
11/07/2020;2360
11/07/2020;2210
11/07/2020;2310
11/07/2020;3490
11/07/2020;3040
11/07/2020;5060
11/07/2020;5090
11/07/2020;5030
11/07/2020;3500
11/07/2020;5430
11/07/2020;3740
11/07/2020;1700
11/07/2020;1560
11/07/2020;1220
11/07/2020;661
11/07/2020;932
11/07/2020;5560
11/07/2020;6030
11/07/2020;5210
11/07/2020;3500
11/07/2020;1580
11/07/2020;1070
11/07/2020;2910
11/07/2020;6910
11/07/2020;2040
11/07/2020;1260
11/07/2020;1820
11/07/2020;2670
11/07/2020;6000
11/07/2020;2990
11/07/2020;4840
11/07/2020;4870
11/07/2020;4790
11/07/2020;3500
11/07/2020;5480
11/07/2020;4530
11/07/2020;1450
11/07/2020;1480
11/07/2020;2140
11/07/2020;2770
11/07/2020;4450
11/07/2020;6800
11/07/2020;5790
11/07/2020;6350
11/07/2020;3300
11/07/2020;1940
11/07/2020;5870
11/07/2020;4140
11/07/2020;7000
11/07/2020;5540
11/07/2020;2430
11/07/2020;5450
11/07/2020;6760
11/07/2020;2940
11/07/2020;4210
11/07/2020;6270
11/07/2020;6770
11/07/2020;5310
11/07/2020;1820
11/07/2020;3160
11/07/2020;5790
11/07/2020;3310
11/07/2020;3820
11/07/2020;4090
11/07/2020;6190
11/07/2020;5940
11/07/2020;5910
11/07/2020;5870
11/07/2020;5160
11/07/2020;5860
11/07/2020;4080
11/07/2020;3700
11/07/2020;5500
11/07/2020;5270
11/07/2020;5050
11/07/2020;4480
11/07/2020;1510
11/07/2020;1110
11/07/2020;1510
11/07/2020;1780
11/07/2020;4910
11/07/2020;4630
11/07/2020;3500
11/07/2020;2650
11/07/2020;3770
11/07/2020;3990
11/07/2020;3860
11/07/2020;3820
11/07/2020;3600
11/07/2020;2860
11/07/2020;2650
11/07/2020;2900
11/07/2020;1560
11/07/2020;909
11/07/2020;2180
11/07/2020;895
11/07/2020;2010
11/07/2020;2280
11/07/2020;2090
11/07/2020;1910
11/07/2020;1740
11/07/2020;1590
11/07/2020;1470
11/07/2020;1320
11/07/2020;1220
11/07/2020;1100
11/07/2020;597
11/07/2020;868
11/07/2020;731
11/07/2020;642
11/07/2020;554
11/07/2020;473
11/07/2020;394
11/07/2020;356
14/07/2020;4070
14/07/2020;4140
14/07/2020;4210
14/07/2020;4280
14/07/2020;4320
14/07/2020;4390
14/07/2020;4460
14/07/2020;4570
14/07/2020;4630
14/07/2020;4670
14/07/2020;4810
14/07/2020;4880
14/07/2020;4970
14/07/2020;5040
14/07/2020;5060
14/07/2020;5140
14/07/2020;5210
14/07/2020;5320
14/07/2020;5170
14/07/2020;5300
14/07/2020;5440
14/07/2020;5460
14/07/2020;5500
14/07/2020;5580
14/07/2020;5660
14/07/2020;5750
14/07/2020;5800
14/07/2020;5850
14/07/2020;5900
14/07/2020;6000
14/07/2020;6450
14/07/2020;6700
14/07/2020;4910
14/07/2020;2340
14/07/2020;3640
14/07/2020;2310
14/07/2020;2120
14/07/2020;4860
14/07/2020;3740
14/07/2020;4510
14/07/2020;3110
14/07/2020;2660
14/07/2020;3010
14/07/2020;4040
14/07/2020;3850
14/07/2020;2430
14/07/2020;2130
14/07/2020;2230
14/07/2020;3230
14/07/2020;6380
14/07/2020;6800
14/07/2020;6360
14/07/2020;6310
14/07/2020;5740
14/07/2020;3820
14/07/2020;3990
14/07/2020;4410
14/07/2020;6630
14/07/2020;6080
14/07/2020;5070
14/07/2020;5850
14/07/2020;5810
14/07/2020;4810
14/07/2020;5550
14/07/2020;5570
14/07/2020;5700
14/07/2020;4500
14/07/2020;4070
14/07/2020;2960
14/07/2020;3490
14/07/2020;5790
14/07/2020;5340
14/07/2020;2980
14/07/2020;2030
